,gbt_prob_default,lr_prob_default,lgd,loan_amnt
0,9.91E-01,4.46E-01,0.2,15000
1,9.84E-01,2.23E-01,0.2,11200
2,8.07E-04,2.89E-01,0.2,15000
3,1.24E-03,1.69E-01,0.2,10800
4,8.49E-02,1.14E-01,0.2,3000
5,2.17E-02,4.90E-01,0.2,7750
6,1.03E-02,1.62E-01,0.2,10000
7,3.75E-04,3.96E-01,0.2,15000
8,9.77E-01,2.17E-01,0.2,15000
9,9.92E-01,4.81E-01,0.2,9000
10,1.73E-01,2.43E-01,0.2,1600
11,9.97E-01,4.05E-01,0.2,1000
12,2.65E-03,6.37E-02,0.2,16000
13,1.66E-03,2.54E-01,0.2,7300
14,9.93E-01,4.16E-01,0.2,15000
15,4.82E-03,3.68E-01,0.2,4000
16,5.12E-02,2.46E-01,0.2,16000
17,9.98E-01,2.79E-02,0.2,7500
18,4.13E-01,1.07E-01,0.2,5000
19,1.48E-01,3.48E-01,0.2,10000
20,2.87E-03,1.47E-01,0.2,6000
21,1.43E-01,6.28E-02,0.2,4500
22,3.39E-01,4.35E-01,0.2,23200
23,9.18E-04,2.30E-01,0.2,10000
24,4.23E-02,1.49E-01,0.2,12000
25,9.66E-01,3.42E-01,0.2,5200
26,1.09E-01,1.30E-01,0.2,4800
27,2.66E-02,7.10E-02,0.2,8000
28,6.67E-01,6.96E-02,0.2,12000
29,9.91E-01,4.43E-01,0.2,16800
30,2.93E-01,2.60E-01,0.2,2000
31,4.85E-02,2.40E-01,0.2,10000
32,3.70E-02,4.20E-01,0.2,14000
33,3.00E-01,2.00E-01,0.2,8150
34,3.00E-04,4.50E-01,0.2,7200
35,5.56E-04,1.33E-01,0.2,6000
36,5.11E-03,2.48E-01,0.2,7000
37,8.82E-04,4.72E-01,0.2,7125
38,1.95E-02,2.34E-01,0.2,4000
39,1.25E-01,2.35E-01,0.2,4800
40,3.82E-01,5.34E-01,0.2,29700
41,3.36E-03,1.37E-03,0.2,15250
42,9.06E-01,9.95E-02,0.2,2000
43,1.74E-02,3.50E-02,0.2,1000
44,2.54E-02,1.54E-02,0.2,12000
45,1.12E-02,2.79E-01,0.2,10000
46,4.97E-02,6.48E-02,0.2,11250
47,1.27E-02,3.74E-01,0.2,5000
48,1.82E-04,2.98E-01,0.2,9000
49,8.98E-03,3.23E-01,0.2,2500
50,9.39E-03,2.99E-01,0.2,9050
51,1.38E-02,1.25E-01,0.2,12000
52,9.98E-01,4.61E-01,0.2,4000
53,5.58E-04,1.24E-01,0.2,3200
54,2.00E-04,3.62E-01,0.2,4500
55,1.44E-02,6.88E-02,0.2,2000
56,5.88E-01,4.28E-01,0.2,6000
57,9.95E-01,5.20E-01,0.2,9925
58,2.73E-02,1.55E-03,0.2,21000
59,2.53E-02,2.74E-01,0.2,6000
60,7.04E-02,1.83E-02,0.2,8000
61,6.71E-02,3.69E-01,0.2,4800
62,1.00E+00,5.82E-01,0.2,16750
63,6.30E-02,6.86E-02,0.2,6000
64,3.74E-02,1.63E-01,0.2,10000
65,2.16E-02,1.02E-01,0.2,6000
66,4.07E-02,4.03E-01,0.2,7225
67,4.99E-02,2.15E-01,0.2,20000
68,9.40E-01,3.13E-01,0.2,14000
69,2.63E-03,3.48E-01,0.2,5000
70,7.74E-02,1.98E-01,0.2,5000
71,9.73E-05,3.26E-01,0.2,25000
72,1.24E-03,4.92E-01,0.2,18650
73,4.81E-02,2.80E-03,0.2,12900
74,7.53E-02,3.26E-01,0.2,25000
75,3.77E-02,2.91E-01,0.2,3000
76,3.08E-02,4.09E-02,0.2,12000
77,9.10E-02,3.85E-01,0.2,2400
78,2.51E-04,3.13E-01,0.2,21000
79,9.04E-02,2.27E-01,0.2,15000
80,8.31E-05,1.28E-01,0.2,3500
81,6.58E-04,1.64E-01,0.2,15000
82,4.07E-02,2.22E-01,0.2,6000
83,1.06E-01,8.40E-02,0.2,4800
84,9.83E-01,2.93E-01,0.2,13650
85,2.46E-01,3.91E-01,0.2,20000
86,8.57E-03,1.85E-02,0.2,10000
87,1.34E-01,2.83E-01,0.2,1500
88,4.58E-02,3.11E-01,0.2,4800
89,2.98E-02,2.03E-01,0.2,22000
90,3.95E-03,3.14E-01,0.2,4000
91,9.47E-02,2.28E-01,0.2,6700
92,4.84E-03,1.35E-01,0.2,9000
93,3.42E-02,8.32E-02,0.2,9250
94,2.49E-01,1.47E-01,0.2,5000
95,4.35E-03,1.54E-01,0.2,12000
96,6.59E-02,3.61E-01,0.2,6000
97,1.00E+00,4.00E-01,0.2,3000
98,5.36E-03,1.70E-01,0.2,4000
99,9.86E-01,2.00E-01,0.2,3600
100,9.97E-01,5.60E-01,0.2,18550
101,2.21E-02,2.95E-01,0.2,10000
102,1.82E-02,6.29E-03,0.2,5375
103,3.80E-01,3.66E-01,0.2,10000
104,2.69E-05,3.85E-01,0.2,7000
105,9.84E-01,8.26E-02,0.2,5000
106,2.18E-04,7.02E-02,0.2,6000
107,2.93E-02,1.00E-01,0.2,18000
108,1.10E-04,3.18E-01,0.2,10950
109,2.06E-02,4.07E-01,0.2,6000
110,3.29E-02,4.07E-01,0.2,6000
111,1.11E-03,3.40E-01,0.2,7000
112,1.34E-03,2.21E-01,0.2,12000
113,1.56E-04,4.01E-01,0.2,12000
114,9.95E-01,7.42E-03,0.2,10000
115,9.61E-04,1.57E-01,0.2,5000
116,1.02E-01,1.17E-01,0.2,7000
117,9.71E-01,1.98E-01,0.2,9975
118,4.25E-02,1.40E-01,0.2,6400
119,8.66E-02,1.18E-01,0.2,1500
120,5.13E-04,3.55E-01,0.2,8000
121,1.53E-01,6.37E-02,0.2,16000
122,1.39E-03,3.68E-01,0.2,9900
123,7.30E-04,1.37E-01,0.2,3500
124,2.09E-03,5.75E-02,0.2,4000
125,1.41E-02,4.35E-02,0.2,7300
126,5.27E-02,2.61E-15,0.2,25000
127,9.71E-01,2.10E-01,0.2,6000
128,1.56E-03,4.09E-02,0.2,12000
129,1.24E-03,1.49E-01,0.2,20000
130,1.31E-01,1.61E-01,0.2,3000
131,1.29E-02,7.02E-02,0.2,6000
132,3.89E-04,2.72E-01,0.2,4000
133,6.09E-01,2.69E-01,0.2,30000
134,9.56E-01,4.92E-01,0.2,30000
135,5.17E-02,9.97E-03,0.2,2200
136,7.08E-02,3.68E-02,0.2,6400
137,1.18E-03,4.05E-01,0.2,9000
138,9.97E-01,5.18E-01,0.2,19000
139,3.34E-04,4.34E-02,0.2,5000
140,1.79E-02,4.83E-01,0.2,28000
141,6.72E-03,1.62E-01,0.2,8000
142,8.42E-02,2.89E-01,0.2,2500
143,2.69E-01,2.46E-01,0.2,5000
144,1.76E-02,1.62E-01,0.2,2000
145,5.80E-02,2.81E-01,0.2,5000
146,9.78E-01,4.28E-01,0.2,20000
147,4.11E-04,2.79E-01,0.2,10000
148,7.27E-03,2.38E-01,0.2,8000
149,9.26E-01,6.60E-02,0.2,1500
150,9.95E-01,6.05E-01,0.2,19000
151,1.55E-02,2.66E-01,0.2,11300
152,9.77E-01,2.85E-01,0.2,8000
153,9.95E-01,5.34E-01,0.2,24000
154,2.58E-01,2.63E-01,0.2,8000
155,2.14E-03,2.33E-02,0.2,5000
156,3.79E-03,1.04E-01,0.2,10000
157,1.11E-03,3.08E-01,0.2,6000
158,9.90E-04,4.32E-01,0.2,5000
159,2.37E-01,2.71E-01,0.2,12000
160,3.75E-02,5.30E-01,0.2,25000
161,2.25E-01,2.12E-01,0.2,10000
162,5.62E-01,2.26E-02,0.2,10000
163,6.70E-02,4.73E-01,0.2,13000
164,3.11E-04,1.84E-01,0.2,8700
165,4.71E-04,5.15E-02,0.2,1000
166,2.71E-01,4.60E-01,0.2,25000
167,1.24E-01,2.69E-01,0.2,2000
168,8.91E-04,1.26E-01,0.2,2500
169,9.90E-01,1.08E-01,0.2,3600
170,2.53E-03,2.05E-01,0.2,10000
171,2.67E-02,8.63E-02,0.2,10000
172,3.61E-04,1.60E-01,0.2,3000
173,6.03E-02,3.13E-01,0.2,10800
174,1.32E-01,3.41E-01,0.2,12000
175,2.61E-02,1.30E-01,0.2,4800
176,3.91E-02,3.88E-02,0.2,7500
177,1.80E-02,1.47E-01,0.2,2400
178,1.11E-01,7.22E-02,0.2,1500
179,3.70E-02,3.65E-01,0.2,9000
180,1.11E-01,1.04E-01,0.2,7000
181,3.55E-01,3.37E-01,0.2,16000
182,9.94E-02,1.23E-01,0.2,13000
183,7.13E-05,5.44E-02,0.2,10000
184,1.04E-02,2.02E-01,0.2,6000
185,7.34E-02,2.55E-01,0.2,10000
186,1.32E-01,2.26E-01,0.2,12000
187,1.24E-01,2.97E-01,0.2,4400
188,6.01E-02,5.29E-02,0.2,6000
189,9.51E-01,1.79E-01,0.2,16750
190,3.47E-02,5.66E-02,0.2,8000
191,2.72E-01,1.15E-01,0.2,10000
192,9.92E-01,3.63E-01,0.2,22000
193,5.84E-03,1.14E-01,0.2,12500
194,1.27E-02,1.13E-01,0.2,23000
195,9.98E-01,4.43E-01,0.2,2400
196,1.25E-01,2.78E-02,0.2,12000
197,1.46E-01,2.42E-01,0.2,15000
198,5.13E-02,3.59E-01,0.2,5900
199,2.17E-03,7.72E-02,0.2,10000
200,1.72E-03,8.95E-02,0.2,10000
201,1.28E-01,2.67E-01,0.2,1500
202,6.00E-02,4.01E-02,0.2,8000
203,2.42E-02,7.01E-02,0.2,7500
204,6.15E-03,1.18E-01,0.2,3000
205,1.24E-01,4.12E-01,0.2,8000
206,9.91E-01,3.65E-02,0.2,12000
207,2.16E-02,2.22E-02,0.2,25000
208,2.34E-03,1.48E-01,0.2,4000
209,3.41E-02,2.40E-02,0.2,3000
210,9.97E-01,3.77E-01,0.2,25000
211,4.84E-01,2.58E-01,0.2,1400
212,9.17E-03,5.55E-01,0.2,13000
213,1.90E-01,2.48E-01,0.2,10000
214,7.26E-03,3.60E-02,0.2,6000
215,2.26E-02,2.19E-01,0.2,7000
216,5.11E-05,1.45E-01,0.2,3000
217,1.00E+00,5.68E-01,0.2,20000
218,2.55E-03,2.05E-01,0.2,10000
219,1.96E-02,2.21E-01,0.2,9000
220,5.49E-02,3.32E-01,0.2,2500
221,3.28E-01,1.62E-01,0.2,5000
222,8.92E-02,1.59E-01,0.2,9000
223,3.20E-04,1.53E-02,0.2,5900
224,9.85E-01,3.19E-01,0.2,8000
225,6.54E-01,2.74E-01,0.2,7500
226,3.10E-02,5.89E-02,0.2,8400
227,6.19E-04,3.40E-01,0.2,2850
228,5.71E-03,1.87E-01,0.2,7000
229,1.09E-02,7.59E-02,0.2,3000
230,3.74E-04,1.55E-01,0.2,6000
231,1.87E-02,8.40E-02,0.2,14500
232,2.95E-03,1.91E-01,0.2,5000
233,4.52E-02,1.35E-01,0.2,9000
234,3.02E-02,3.37E-01,0.2,10000
235,7.49E-04,1.10E-03,0.2,6000
236,1.84E-01,3.15E-01,0.2,4800
237,9.97E-01,1.28E-01,0.2,2400
238,9.85E-01,4.65E-01,0.2,14000
239,3.45E-01,1.17E-01,0.2,1400
240,6.70E-03,2.79E-01,0.2,10000
241,2.23E-02,6.29E-02,0.2,1000
242,9.38E-03,1.30E-02,0.2,4700
243,8.05E-04,2.48E-01,0.2,10000
244,6.23E-01,3.22E-01,0.2,7000
245,6.30E-03,3.27E-02,0.2,6000
246,7.04E-03,1.21E-01,0.2,18000
247,2.15E-02,1.62E-01,0.2,20000
248,6.41E-02,1.11E-01,0.2,5000
249,3.78E-02,7.87E-02,0.2,8300
250,8.57E-02,3.09E-01,0.2,20000
251,2.30E-04,2.90E-02,0.2,18000
252,2.16E-03,2.21E-02,0.2,6000
253,5.43E-02,1.00E-01,0.2,2100
254,3.95E-02,2.98E-01,0.2,4800
255,4.36E-02,1.84E-01,0.2,6000
256,9.93E-01,1.31E-01,0.2,25000
257,8.69E-03,2.83E-01,0.2,14000
258,1.36E-02,1.25E-01,0.2,12000
259,1.17E-02,3.13E-03,0.2,14500
260,4.27E-02,1.53E-01,0.2,3000
261,3.40E-02,3.27E-02,0.2,6000
262,2.56E-03,1.01E-02,0.2,8000
263,1.74E-04,3.15E-01,0.2,12000
264,4.31E-02,8.69E-02,0.2,2500
265,7.12E-02,2.87E-01,0.2,1600
266,2.48E-02,1.64E-01,0.2,1500
267,9.99E-01,6.51E-01,0.2,17000
268,7.03E-04,1.32E-01,0.2,5000
269,4.38E-02,5.68E-02,0.2,5000
270,9.97E-01,5.15E-01,0.2,24250
271,1.69E-02,7.17E-02,0.2,10000
272,1.26E-02,2.17E-01,0.2,9500
273,9.97E-01,5.00E-01,0.2,14000
274,1.63E-04,7.67E-02,0.2,5000
275,1.29E-03,2.39E-01,0.2,5000
276,1.69E-01,1.26E-01,0.2,3000
277,9.45E-03,9.13E-03,0.2,15000
278,1.44E-02,7.28E-04,0.2,7800
279,2.83E-02,1.58E-01,0.2,7000
