,gbt_prob_default,lr_prob_default,lgd,loan_amnt
0,9.91E-01,4.46E-01,0.20,15000
1,9.84E-01,2.23E-01,0.20,11200
2,8.07E-04,2.89E-01,0.20,15000
3,1.24E-03,1.69E-01,0.20,10800
4,8.49E-02,1.14E-01,0.20,3000
5,2.17E-02,4.90E-01,0.20,7750
6,1.03E-02,1.62E-01,0.20,10000
7,3.75E-04,3.96E-01,0.20,15000
8,9.77E-01,2.17E-01,0.20,15000
9,9.92E-01,4.81E-01,0.20,9000
10,1.73E-01,2.43E-01,0.20,1600
11,9.97E-01,4.05E-01,0.20,1000
12,2.65E-03,6.37E-02,0.20,16000
13,1.66E-03,2.54E-01,0.20,7300
14,9.93E-01,4.16E-01,0.20,15000
15,4.82E-03,3.68E-01,0.20,4000
16,5.12E-02,2.46E-01,0.20,16000
17,9.98E-01,2.79E-02,0.20,7500
18,4.13E-01,1.07E-01,0.20,5000
19,1.48E-01,3.48E-01,0.20,10000
20,2.87E-03,1.47E-01,0.20,6000
21,1.43E-01,6.28E-02,0.20,4500
22,3.39E-01,4.35E-01,0.20,23200
23,9.18E-04,2.30E-01,0.20,10000
24,4.23E-02,1.49E-01,0.20,12000
25,9.66E-01,3.42E-01,0.20,5200
26,1.09E-01,1.30E-01,0.20,4800
27,2.66E-02,7.10E-02,0.20,8000
28,6.67E-01,6.96E-02,0.20,12000
29,9.91E-01,4.43E-01,0.20,16800
30,2.93E-01,2.60E-01,0.20,2000
31,4.85E-02,2.40E-01,0.20,10000
32,3.70E-02,4.20E-01,0.20,14000
33,3.00E-01,2.00E-01,0.20,8150
34,3.00E-04,4.50E-01,0.20,7200
35,5.56E-04,1.33E-01,0.20,6000
36,5.11E-03,2.48E-01,0.20,7000
37,8.82E-04,4.72E-01,0.20,7125
38,1.95E-02,2.34E-01,0.20,4000
39,1.25E-01,2.35E-01,0.20,4800
40,3.82E-01,5.34E-01,0.20,29700
41,3.36E-03,1.37E-03,0.20,15250
42,9.06E-01,9.95E-02,0.20,2000
43,1.74E-02,3.50E-02,0.20,1000
44,2.54E-02,1.54E-02,0.20,12000
45,1.12E-02,2.79E-01,0.20,10000
46,4.97E-02,6.48E-02,0.20,11250
47,1.27E-02,3.74E-01,0.20,5000
48,1.82E-04,2.98E-01,0.20,9000
49,8.98E-03,3.23E-01,0.20,2500
50,9.39E-03,2.99E-01,0.20,9050
51,1.38E-02,1.25E-01,0.20,12000
52,9.98E-01,4.61E-01,0.20,4000
53,5.58E-04,1.24E-01,0.20,3200
54,2.00E-04,3.62E-01,0.20,4500
55,1.44E-02,6.88E-02,0.20,2000
56,5.88E-01,4.28E-01,0.20,6000
57,9.95E-01,5.20E-01,0.20,9925
58,2.73E-02,1.55E-03,0.20,21000
59,2.53E-02,2.74E-01,0.20,6000
60,7.04E-02,1.83E-02,0.20,8000
61,6.71E-02,3.69E-01,0.20,4800
62,1.00E+00,5.82E-01,0.20,16750
63,6.30E-02,6.86E-02,0.20,6000
64,3.74E-02,1.63E-01,0.20,10000
65,2.16E-02,1.02E-01,0.20,6000
66,4.07E-02,4.03E-01,0.20,7225
67,4.99E-02,2.15E-01,0.20,20000
68,9.40E-01,3.13E-01,0.20,14000
69,2.63E-03,3.48E-01,0.20,5000
70,7.74E-02,1.98E-01,0.20,5000
71,9.73E-05,3.26E-01,0.20,25000
72,1.24E-03,4.92E-01,0.20,18650
73,4.81E-02,2.80E-03,0.20,12900
74,7.53E-02,3.26E-01,0.20,25000
75,3.77E-02,2.91E-01,0.20,3000
76,3.08E-02,4.09E-02,0.20,12000
77,9.10E-02,3.85E-01,0.20,2400
78,2.51E-04,3.13E-01,0.20,21000
79,9.04E-02,2.27E-01,0.20,15000
80,8.31E-05,1.28E-01,0.20,3500
81,6.58E-04,1.64E-01,0.20,15000
82,4.07E-02,2.22E-01,0.20,6000
83,1.06E-01,8.40E-02,0.20,4800
84,9.83E-01,2.93E-01,0.20,13650
85,2.46E-01,3.91E-01,0.20,20000
86,8.57E-03,1.85E-02,0.20,10000
87,1.34E-01,2.83E-01,0.20,1500
88,4.58E-02,3.11E-01,0.20,4800
89,2.98E-02,2.03E-01,0.20,22000
